congress,bill_id_clean,predicted_category
118,hjres7,Healthcare
118,hr82,Technology
118,hr346,Technology
118,hr423,Technology
118,hr366,Technology
118,hr292,Technology
118,s30,Technology
118,s111,Technology
118,s112,Technology
118,s91,Technology
118,s50,Technology
118,s59,Technology
118,hr593,Technology
118,s138,Technology
118,s133,Technology
118,s134,Technology
118,hr599,Technology
118,hr663,Technology
118,s141,Technology
118,hr670,Technology
118,hjres26,Healthcare
118,s206,Technology
118,hr815,Technology
118,s227,Technology
118,s265,Technology
118,hr807,Technology
118,s223,Technology
118,s382,Technology
118,s310,Technology
118,hr996,Technology
118,hr1042,Technology
118,s467,Technology
118,hr1096,Technology
118,s475,Technology
118,s474,Technology
118,hr1105,Technology
118,hr1076,Technology
118,hr1098,Technology
118,hr1060,Technology
118,hr1097,Technology
118,s619,Technology
118,hr1226,Technology
118,s546,Technology
118,hr1240,Technology
118,s612,Technology
118,s656,Technology
118,s679,Technology
118,s670,Technology
118,hr1432,Technology
118,hr1318,Technology
118,hr1568,Technology
118,hr1505,Technology
118,s709,Technology
118,s759,Technology
118,hr1555,Technology
118,s777,Technology
118,s788,Technology
118,s870,Technology
118,s794,Technology
118,hr1607,Technology
118,hr1734,Technology
118,hr1722,Technology
118,s932,Technology
118,hr1727,Technology
118,s992,Technology
118,hr2365,Technology
118,hr1823,Technology
118,hr2379,Technology
118,s1147,Technology
118,hr2468,Technology
118,hr2544,Technology
118,hr2670,Technology
118,hr2839,Technology
118,s1278,Technology
118,hr2754,Technology
118,hr2872,Technology
118,hr2882,Technology
118,hr2950,Technology
118,s1351,Technology
118,hr3019,Technology
118,hr2997,Technology
118,s1549,Technology
118,s1510,Technology
118,s1478,Technology
118,hr3315,Technology
118,hjres62,Healthcare
118,hjres63,Healthcare
118,hjres64,Healthcare
118,s1608,Technology
118,hr3254,Technology
118,hr3324,Technology
118,hr3354,Technology
118,s1648,Technology
118,hr3391,Technology
118,hr3672,Technology
118,hr3608,Technology
118,hr3746,Technology
118,hr3728,Technology
118,hr3821,Technology
118,hr3801,Technology
118,hr3797,Technology
118,s1858,Technology
118,hr3865,Technology
118,hr4004,Technology
118,hr3947,Technology
118,hr3944,Technology
118,hr3935,Technology
118,s1973,Technology
118,s2051,Technology
118,hr4190,Technology
118,hr4094,Technology
118,hr4136,Technology
118,s2143,Technology
118,s2181,Technology
118,hr4366,Technology
118,hr4389,Technology
118,hr4385,Technology
118,hr4467,Technology
118,hr4581,Technology
118,s2228,Technology
118,s2274,Technology
118,s2414,Technology
118,s2513,Technology
118,s2685,Technology
118,hr5009,Technology
118,hr4955,Technology
118,hr5103,Technology
118,hr4984,Technology
118,hr5110,Technology
118,hr5302,Technology
118,hr5301,Technology
118,s2795,Technology
118,s2747,Technology
118,s2787,Technology
118,s2781,Technology
118,hr5443,Technology
118,s2825,Technology
118,s2861,Technology
118,hr5464,Technology
118,hr5476,Technology
118,hr5490,Technology
118,hr5536,Technology
118,hr5640,Technology
118,hr5712,Technology
118,hr5646,Technology
118,hr5860,Technology
118,hr5861,Technology
118,hr5799,Technology
118,hr5863,Technology
118,hr5770,Technology
118,hr5867,Technology
118,hr5887,Technology
118,hr5985,Technology
118,s3126,Technology
118,hr6073,Technology
118,hr6062,Technology
118,s3222,Technology
118,hr6116,Technology
118,hr6162,Technology
118,hr6188,Technology
118,hr6363,Technology
118,s3250,Technology
118,s3249,Technology
118,s3285,Technology
118,hr6249,Technology
118,s3267,Technology
118,hr6324,Technology
118,hr6244,Technology
118,hr6503,Technology
118,hr6395,Technology
118,hr6492,Technology
118,s3427,Technology
118,hr6513,Technology
118,s3419,Technology
118,hr6651,Technology
118,s3448,Technology
118,hr6633,Technology
118,s3475,Technology
118,hr6750,Technology
118,hr6826,Technology
118,hr6829,Technology
118,hr6843,Technology
118,hr6810,Technology
118,hr6852,Technology
118,hr7032,Technology
118,s3640,Technology
118,s3639,Technology
118,s3613,Technology
118,hr6960,Technology
118,hr6983,Technology
118,s3706,Technology
118,hr7189,Technology
118,hr7192,Technology
118,hr7199,Technology
118,hr7177,Technology
118,hr7213,Technology
118,hr7180,Technology
118,hr7158,Technology
118,s3764,Technology
118,hr7333,Technology
118,hr7218,Technology
118,s3791,Technology
118,hr7463,Technology
118,hr7454,Technology
118,hr7377,Technology
118,hr7423,Technology
118,hr7438,Technology
118,hr7332,Technology
118,hr7365,Technology
118,hr7385,Technology
118,hr7417,Technology
118,hr7508,Technology
118,hr7507,Technology
118,s3851,Technology
118,s3857,Technology
118,hr7524,Technology
118,hr7606,Technology
118,hr7607,Technology
118,hr7764,Technology
118,s3960,Technology
118,s3959,Technology
118,s3946,Technology
118,s3938,Technology
118,hr7777,Technology
118,s3998,Technology
118,hr7888,Technology
118,hr7872,Technology
118,s4077,Technology
118,s4107,Technology
118,hr7893,Technology
118,hr7938,Technology
118,hr8012,Technology
118,hr8057,Technology
118,s4243,Technology
118,hr8219,Technology
118,hr8289,Technology
118,s4351,Technology
118,hr8413,Technology
118,s4367,Technology
118,s4548,Technology
118,hr8663,Technology
118,hr8641,Technology
118,hr8667,Technology
118,hr8666,Technology
118,hr8717,Technology
118,s4610,Technology
