congress,chamber,vote_id,bill_id,member,vote,bioguide_id,party,state,description,question
119,House,H-2025-224,hjres104,Adams,Nay,A000370,D,NC,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Aderholt,Yea,A000055,R,AL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Aguilar,Nay,A000371,D,CA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Alford,Yea,A000379,R,MO,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Allen,Yea,A000372,R,GA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Amo,Nay,A000380,D,RI,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Amodei (NV),Yea,A000369,R,NV,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Ansari,Nay,A000381,D,AZ,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Arrington,Yea,A000375,R,TX,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Auchincloss,Nay,A000148,D,MA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Babin,Yea,B001291,R,TX,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bacon,Yea,B001298,R,NE,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Baird,Yea,B001307,R,IN,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Balderson,Yea,B001306,R,OH,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Balint,Nay,B001318,D,VT,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Barr,Yea,B001282,R,KY,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Barragán,Nay,B001300,D,CA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Barrett,Yea,B001321,R,MI,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Baumgartner,Yea,B001322,R,WA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bean (FL),Yea,B001314,R,FL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Beatty,Nay,B001281,D,OH,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Begich,Yea,B001323,R,AK,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bell,Nay,B001324,D,MO,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bentz,Yea,B000668,R,OR,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bera,Nay,B001287,D,CA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bergman,Yea,B001301,R,MI,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Beyer,Nay,B001292,D,VA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bice,Yea,B000740,R,OK,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Biggs (AZ),Yea,B001302,R,AZ,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Biggs (SC),Yea,B001325,R,SC,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bilirakis,Yea,B001257,R,FL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bishop,Nay,B000490,D,GA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Boebert,Yea,B000825,R,CO,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bonamici,Nay,B001278,D,OR,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bost,Yea,B001295,R,IL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Boyle (PA),Nay,B001296,D,PA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Brecheen,Yea,B001317,R,OK,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bresnahan,Yea,B001327,R,PA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Brown,Nay,B001313,D,OH,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Brownley,Nay,B001285,D,CA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Buchanan,Yea,B001260,R,FL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Budzinski,Nay,B001315,D,IL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Burchett,Not Voting,B001309,R,TN,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Burlison,Yea,B001316,R,MO,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Bynum,Nay,B001326,D,OR,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Calvert,Yea,C000059,R,CA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Cammack,Yea,C001039,R,FL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Carbajal,Nay,C001112,D,CA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Carey,Yea,C001126,R,OH,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Carson,Nay,C001072,D,IN,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Carter (GA),Yea,C001103,R,GA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Carter (LA),Nay,C001125,D,LA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Carter (TX),Yea,C001051,R,TX,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Casar,Nay,C001131,D,TX,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Case,Nay,C001055,D,HI,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Casten,Nay,C001117,D,IL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Castor (FL),Nay,C001066,D,FL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Castro (TX),Nay,C001091,D,TX,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Cherfilus-McCormick,Nay,C001127,D,FL,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Chu,Nay,C001080,D,CA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Ciscomani,Yea,C001133,R,AZ,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Cisneros,Nay,C001123,D,CA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Clark (MA),Nay,C001101,D,MA,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Clarke (NY),Nay,C001067,D,NY,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
119,House,H-2025-224,hjres104,Cleaver,Nay,C001061,D,MO,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to “Miles City Field Office Record of Decision and Approved Resource Management Plan Amendment”",On Passage
