roll_call,bill_id,bill_raw,name,bioguide_id,party,state,vote,description,question,,,,,,
19,hr187,H R 187,Adams,A000370,D,NC,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Aderholt,A000055,R,AL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Aguilar,A000371,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Alford,A000379,R,MO,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Allen,A000372,R,GA,Not Voting,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Amo,A000380,D,RI,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Amodei (NV),A000369,R,NV,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Ansari,A000381,D,AZ,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Arrington,A000375,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Auchincloss,A000148,D,MA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Babin,B001291,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bacon,B001298,R,NE,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Baird,B001307,R,IN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Balderson,B001306,R,OH,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Balint,B001318,D,VT,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Barr,B001282,R,KY,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Barragán,B001300,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Barrett,B001321,R,MI,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Baumgartner,B001322,R,WA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bean (FL),B001314,R,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Beatty,B001281,D,OH,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Begich,B001323,R,AK,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bell,B001324,D,MO,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bentz,B000668,R,OR,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bera,B001287,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bergman,B001301,R,MI,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Beyer,B001292,D,VA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bice,B000740,R,OK,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Biggs (AZ),B001302,R,AZ,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Biggs (SC),B001325,R,SC,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bilirakis,B001257,R,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bishop,B000490,D,GA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Boebert,B000825,R,CO,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bonamici,B001278,D,OR,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bost,B001295,R,IL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Boyle (PA),B001296,D,PA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Brecheen,B001317,R,OK,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bresnahan,B001327,R,PA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Brown,B001313,D,OH,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Brownley,B001285,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Buchanan,B001260,R,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Budzinski,B001315,D,IL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Burchett,B001309,R,TN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Burlison,B001316,R,MO,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Bynum,B001326,D,OR,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Calvert,C000059,R,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Cammack,C001039,R,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Carbajal,C001112,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Carey,C001126,R,OH,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Carson,C001072,D,IN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Carter (GA),C001103,R,GA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Carter (LA),C001125,D,LA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Carter (TX),C001051,R,TX,Not Voting,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Casar,C001131,D,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Case,C001055,D,HI,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Casten,C001117,D,IL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Castor (FL),C001066,D,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Castro (TX),C001091,D,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Cherfilus-McCormick,C001127,D,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Chu,C001080,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Ciscomani,C001133,R,AZ,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Cisneros,C001123,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Clark (MA),C001101,D,MA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Clarke (NY),C001067,D,NY,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Cleaver,C001061,D,MO,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Cline,C001118,R,VA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Cloud,C001115,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Clyburn,C000537,D,SC,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Clyde,C001116,R,GA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Cohen,C001068,D,TN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Cole,C001053,R,OK,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Collins,C001129,R,GA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Comer,C001108,R,KY,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Conaway,C001136,D,NJ,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Connolly,C001078,D,VA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Correa,C001110,D,CA,Not Voting,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Costa,C001059,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Courtney,C001069,D,CT,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
