member,bioguide_id,party,state,Immigration_total_score,Immigration_vote_totals,Immigration_mean_score,Immigration_final_score,Healthcare_total_score,Healthcare_vote_totals,Healthcare_mean_score,Healthcare_final_score,Taxes_spending_budget_total_score,Taxes_spending_budget_vote_totals,Taxes_spending_budget_mean_score,Taxes_spending_budget_final_score,Education_total_score,Education_vote_totals,Education_mean_score,Education_final_score,Climate_environment_total_score,Climate_environment_vote_totals,Climate_environment_mean_score,Climate_environment_final_score,Nominations_total_score,Nominations_vote_totals,Nominations_mean_score,Nominations_final_score,Entitlements_welfare_total_score,Entitlements_welfare_vote_totals,Entitlements_welfare_mean_score,Entitlements_welfare_final_score,Military_national_security_total_score,Military_national_security_vote_totals,Military_national_security_mean_score,Military_national_security_final_score,Technology_total_score,Technology_vote_totals,Technology_mean_score,Technology_final_score,Business_employment_total_score,Business_employment_vote_totals,Business_employment_mean_score,Business_employment_final_score,Miscellaneous_total_score,Miscellaneous_vote_totals,Miscellaneous_mean_score,Miscellaneous_final_score
Adams,A000370,D,NC,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Aderholt,A000055,R,AL,9,9,1.0,100.0,13,13,1.0,100.0,12,12,1.0,100.0,25,26,0.961538,92.3077,10,11,0.909091,81.8182,20,20,1.0,100.0,21,22,0.954545,90.9091,22,24,0.916667,83.3333,24,26,0.923077,84.6154,8,10,0.8,60.0,23,23,1.0,100.0
Aguilar,A000371,D,CA,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,12,0.083333,-83.3333,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Allen,A000372,R,GA,9,10,0.9,80.0,13,15,0.866667,73.3333,11,11,1.0,100.0,26,26,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,20,20,1.0,100.0,24,24,1.0,100.0,26,26,1.0,100.0,10,10,1.0,100.0,23,23,1.0,100.0
Allred,A000376,D,TX,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,5,0.0,-100.0,0,12,0.0,-100.0,2,13,0.153846,-69.2308,2,21,0.095238,-80.9524,0,9,0.0,-100.0,2,7,0.285714,-42.8571
Amodei,A000369,R,NV,10,12,0.833333,66.6667,11,15,0.733333,46.6667,10,12,0.833333,66.6667,26,27,0.962963,92.5926,10,11,0.909091,81.8182,16,17,0.941176,88.2353,17,19,0.894737,78.9474,22,24,0.916667,83.3333,21,26,0.807692,61.5385,8,10,0.8,60.0,18,23,0.782609,56.5217
Armstrong,A000377,R,ND,9,10,0.9,80.0,5,7,0.714286,42.8571,6,7,0.857143,71.4286,8,8,1.0,100.0,9,9,1.0,100.0,3,6,0.5,0.0,10,12,0.833333,66.6667,11,12,0.916667,83.3333,13,19,0.684211,36.8421,9,9,1.0,100.0,7,9,0.777778,55.5556
Arrington,A000375,R,TX,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,19,19,1.0,100.0,20,20,1.0,100.0,24,24,1.0,100.0,23,26,0.884615,76.9231,10,10,1.0,100.0,23,23,1.0,100.0
Auchincloss,A000148,D,MA,0,6,0.0,-100.0,2,13,0.153846,-69.2308,1,10,0.1,-80.0,0,25,0.0,-100.0,0,11,0.0,-100.0,0,17,0.0,-100.0,0,21,0.0,-100.0,0,22,0.0,-100.0,0,23,0.0,-100.0,0,10,0.0,-100.0,0,20,0.0,-100.0
Axne,A000378,D,IA,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Babin,B001291,R,TX,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,26,26,1.0,100.0,10,10,1.0,100.0,23,23,1.0,100.0
Bacon,B001298,R,NE,8,10,0.8,60.0,15,15,1.0,100.0,9,12,0.75,50.0,25,26,0.961538,92.3077,9,11,0.818182,63.6364,19,20,0.95,90.0,19,22,0.863636,72.7273,21,24,0.875,75.0,17,26,0.653846,30.7692,10,10,1.0,100.0,21,23,0.913043,82.6087
Baird,B001307,R,IN,12,12,1.0,100.0,13,13,1.0,100.0,11,11,1.0,100.0,25,26,0.961538,92.3077,11,11,1.0,100.0,20,20,1.0,100.0,21,22,0.954545,90.9091,21,24,0.875,75.0,24,26,0.923077,84.6154,8,10,0.8,60.0,21,21,1.0,100.0
Balderson,B001306,R,OH,10,12,0.833333,66.6667,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,27,0.962963,92.5926,11,11,1.0,100.0,19,20,0.95,90.0,21,22,0.954545,90.9091,21,24,0.875,75.0,21,26,0.807692,61.5385,8,10,0.8,60.0,21,23,0.913043,82.6087
Banks,B001299,R,IN,10,10,1.0,100.0,7,7,1.0,100.0,7,7,1.0,100.0,8,8,1.0,100.0,9,9,1.0,100.0,6,6,1.0,100.0,12,12,1.0,100.0,13,13,1.0,100.0,21,21,1.0,100.0,9,9,1.0,100.0,9,9,1.0,100.0
Barr,B001282,R,KY,10,12,0.833333,66.6667,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,27,0.962963,92.5926,9,9,1.0,100.0,18,19,0.947368,89.4737,20,20,1.0,100.0,22,24,0.916667,83.3333,26,26,1.0,100.0,10,10,1.0,100.0,20,22,0.909091,81.8182
Barragán,B001300,D,CA,0,12,0.0,-100.0,0,13,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,15,0.0,-100.0,0,17,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Bass,B001270,D,CA,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,5,0.0,-100.0,0,5,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Beatty,B001281,D,OH,0,10,0.0,-100.0,0,14,0.0,-100.0,0,12,0.0,-100.0,0,25,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,20,0.0,-100.0,1,23,0.043478,-91.3043,0,24,0.0,-100.0,0,10,0.0,-100.0,2,21,0.095238,-80.9524
Bentz,B000668,R,OR,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,10,10,1.0,100.0,20,20,1.0,100.0
Bera,B001287,D,CA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
Bergman,B001301,R,MI,10,12,0.833333,66.6667,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,27,0.962963,92.5926,11,11,1.0,100.0,16,17,0.941176,88.2353,19,19,1.0,100.0,22,24,0.916667,83.3333,26,26,1.0,100.0,10,10,1.0,100.0,21,23,0.913043,82.6087
Beyer,B001292,D,VA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,23,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,21,0.0,-100.0
Bice (OK),B000740,R,OK,6,6,1.0,100.0,12,13,0.923077,84.6154,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,15,17,0.882353,76.4706,21,21,1.0,100.0,22,22,1.0,100.0,20,23,0.869565,73.913,10,10,1.0,100.0,20,20,1.0,100.0
Biggs,B001302,R,AZ,12,12,1.0,100.0,15,15,1.0,100.0,10,10,1.0,100.0,25,27,0.925926,85.1852,9,11,0.818182,63.6364,19,19,1.0,100.0,22,22,1.0,100.0,23,24,0.958333,91.6667,23,26,0.884615,76.9231,10,10,1.0,100.0,19,23,0.826087,65.2174
