congress,bill_id_clean
118,hjres7
118,hr82
118,hr346
118,hr423
118,hr366
118,hr292
118,s30
118,s111
118,s112
118,s91
118,s50
118,s59
118,hr593
118,s138
118,s133
118,s134
118,hr599
118,hr663
118,s141
118,hr670
118,hjres26
118,s206
118,hr815
118,s227
118,s265
118,hr807
118,s223
118,s382
118,s310
118,hr996
118,hr1042
118,s467
118,hr1096
118,s475
118,s474
118,hr1105
118,hr1076
118,hr1098
118,hr1060
118,hr1097
118,s619
118,hr1226
118,s546
118,hr1240
118,s612
118,s656
118,s679
118,s670
118,hr1432
118,hr1318
118,hr1568
118,hr1505
118,s709
118,s759
118,hr1555
118,s777
118,s788
118,s870
118,s794
118,hr1607
118,hr1734
118,hr1722
118,s932
118,hr1727
118,s992
118,hr2365
118,hr1823
118,hr2379
118,s1147
118,hr2468
118,hr2544
118,hr2670
118,hr2839
118,s1278
118,hr2754
118,hr2872
118,hr2882
118,hr2950
118,s1351
118,hr3019
118,hr2997
118,s1549
118,s1510
118,s1478
118,hr3315
118,hjres62
118,hjres63
118,hjres64
118,s1608
118,hr3254
118,hr3324
118,hr3354
118,s1648
118,hr3391
118,hr3672
118,hr3608
118,hr3746
118,hr3728
118,hr3821
118,hr3801
118,hr3797
118,s1858
118,hr3865
118,hr4004
118,hr3947
118,hr3944
118,hr3935
118,s1973
118,s2051
118,hr4190
118,hr4094
118,hr4136
118,s2143
118,s2181
118,hr4366
118,hr4389
118,hr4385
118,hr4467
118,hr4581
118,s2228
118,s2274
118,s2414
118,s2513
118,s2685
118,hr5009
118,hr4955
118,hr5103
118,hr4984
118,hr5110
118,hr5302
118,hr5301
118,s2795
118,s2747
118,s2787
118,s2781
118,hr5443
118,s2825
118,s2861
118,hr5464
118,hr5476
118,hr5490
118,hr5536
118,hr5640
118,hr5712
118,hr5646
118,hr5860
118,hr5861
118,hr5799
118,hr5863
118,hr5770
118,hr5867
118,hr5887
118,hr5985
118,s3126
118,hr6073
118,hr6062
118,s3222
118,hr6116
118,hr6162
118,hr6188
118,hr6363
118,s3250
118,s3249
118,s3285
118,hr6249
118,s3267
118,hr6324
118,hr6244
118,hr6503
118,hr6395
118,hr6492
118,s3427
118,hr6513
118,s3419
118,hr6651
118,s3448
118,hr6633
118,s3475
118,hr6750
118,hr6826
118,hr6829
118,hr6843
118,hr6810
118,hr6852
118,hr7032
118,s3640
118,s3639
118,s3613
118,hr6960
118,hr6983
118,s3706
118,hr7189
118,hr7192
118,hr7199
118,hr7177
118,hr7213
118,hr7180
118,hr7158
118,s3764
118,hr7333
118,hr7218
118,s3791
118,hr7463
118,hr7454
118,hr7377
118,hr7423
118,hr7438
118,hr7332
118,hr7365
118,hr7385
118,hr7417
118,hr7508
118,hr7507
118,s3851
118,s3857
118,hr7524
118,hr7606
118,hr7607
118,hr7764
118,s3960
118,s3959
118,s3946
118,s3938
118,hr7777
118,s3998
118,hr7888
118,hr7872
118,s4077
118,s4107
118,hr7893
118,hr7938
118,hr8012
118,hr8057
118,s4243
118,hr8219
118,hr8289
118,s4351
118,hr8413
118,s4367
118,s4548
118,hr8663
118,hr8641
118,hr8667
118,hr8666
118,hr8717
118,s4610
118,hr8841
118,hr8868
118,hr8932
118,hr8909
118,hr8919
118,hr8976
118,s4698
118,hr9106
118,s4716
118,hr9076
118,hr9124
118,hr9285
118,hr9468
118,hr9322
118,hr9421
118,hr9487
118,hr9566
118,hr9544
118,hr9580
118,hr9549
118,hr9600
118,hr9592
118,hr9747
118,hr9775
118,s5314
118,hr10065
118,s5355
118,hr10545
119,s5
119,hr43
119,hr42
119,hr165
119,hr187
119,hr224
119,hr1
119,hjres20
119,hjres24
119,hr517
119,hr452
119,hr410
119,hjres25
119,s146
119,s160
119,hr618
119,hr695
119,s201
119,s260
119,s216
119,s284
119,s222
119,s331
119,s356
119,s269
119,hjres35
119,sjres11
119,sjres13
119,hr998
119,hr970
119,hr983
119,s423
119,hjres42
119,hr1316
119,sjres18
119,hjres60
119,s616
119,hr1491
119,hjres61
119,hr1512
119,sjres28
119,hr1815
119,hr1912
119,hr1968
119,hjres75
119,sjres31
119,hr2170
119,s1071
119,hr2215
119,hr2316
119,hjres89
119,hjres88
119,hjres87
119,hr2483
119,hr2808
119,s1582
119,s1596
119,s1884
119,hr4
119,hjres104
119,hjres105
119,hjres106
119,hr4323
119,hr4405
119,s2283
119,hr4446
119,s2392
119,hr5371
119,sjres80
119,s2878
119,hjres130
119,hjres131
119,hjres133
119,s3424
119,hr6938
119,hr7148
119,hjres142
119,s3705
119,hr7211
119,s3971
119,s4138
119,hr8322
116,hr150
116,hr133
116,s24
116,hr251
116,hr259
116,s47
116,s49
116,hr276
116,hr299
116,hr263
116,hr266
116,hr221
116,hr430
116,hjres28
116,hr439
116,hr540
116,hr434
116,hr504
116,hr473
116,hjres30
116,hr559
116,hr639
116,s163
116,s151
116,hr583
116,s153
116,hr561
116,hjres31
116,s252
116,hr828
116,hr829
116,hr776
116,s239
116,hr724
116,hr777
116,s209
116,s199
116,s212
116,hr866
116,hr831
116,hr887
116,s256
116,hr943
116,hr886
116,s294
116,s327
116,hr835
116,hr1079
116,hr1058
116,s375
116,s394
116,hr991
116,s371
116,s483
116,hr1222
116,hr1198
116,hr1200
116,hr1123
116,hr1138
116,hr1158
116,s457
116,s461
116,hr1327
116,s504
116,hr1250
116,hr1252
116,hr1253
116,s490
116,hr1449
116,hr1396
116,hr1424
116,hr1365
116,s578
116,hr1418
116,hr1472
116,hr1492
116,s725
116,hr1569
116,hr1590
116,s693
116,hr1526
116,hr1520
116,hr1503
116,s744
116,s737
116,s760
116,s743
116,s785
116,hr1668
116,s863
116,hr1839
116,s862
116,hr1844
116,hr1865
116,s832
116,hr1812
116,s881
116,hr1773
116,hr1833
116,hr1830
116,hr1972
116,s893
116,hr1957
116,hr1952
116,s910
116,s945
116,s900
116,s914
116,hr1966
116,hr1923
116,hr1925
116,hr2030
116,s998
116,s982
116,s1014
116,s979
116,hr2157
116,hr2196
116,hr2151
116,s1069
116,hr2246
116,s1130
116,hr2336
116,s1196
116,hr2325
116,hr2334
116,hr2333
116,hr2385
116,hr2372
116,hr2359
116,s1153
116,hr2423
116,hr2451
116,hr2476
116,hr2454
116,hr2444
116,s1310
116,hr2502
116,s1379
116,s1321
116,s1380
116,s1342
116,s1436
116,hr2695
116,hr2744
116,s1693
116,hr2940
116,hr2938
116,s1689
116,s1678
116,s1646
116,hr2969
116,hr3005
116,s1694
116,hr3151
116,s1749
116,hr3055
116,hr3144
116,hr3153
116,hr3245
116,s1838
116,s1790
116,hr3196
116,s1822
116,hr3207
116,s1869
116,hr3250
116,hr3401
116,hr3253
116,hr3305
116,hr3304
116,hr3311
116,hr3314
116,hr3399
116,hr3317
116,hr3329
116,hr3275
116,hr3349
116,s2047
116,hr3504
116,s1982
116,hr3465
116,s2107
116,hr3589
116,hr3680
116,s2163
116,s2193
116,s2174
116,hr3877
116,s2249
116,hr3889
116,hr3847
116,hr3870
116,s2258
116,s2216
116,s2330
116,hr4104
116,hr4034
116,hr3976
116,hr4031
116,hr4044
116,hr4183
116,hr4200
116,hr4378
116,hr4285
116,hr4258
116,hr4334
116,hr4279
116,s2472
116,hr4356
116,hr4566
116,hr4672
116,hr4508
116,hr4771
116,s2661
116,hr4779
116,s2638
116,hr4734
116,hr4794
116,hr4725
116,hr4785
116,hr4761
116,s2683
116,hr4704
116,s2710
116,hr4803
116,s2746
116,hr4920
116,hr4875
116,s2730
116,hr4998
116,hr4981
116,hr5037
116,hr4975
116,hr4971
116,hr4983
116,hr4988
116,hr5023
116,hr5062
116,s2904
116,hr5123
116,hr5126
116,hr5277
116,hr5214
116,hr5307
116,hr5317
116,s2981
116,hr5273
116,hr5363
116,hjres80
116,s3051
116,hr5384
116,sjres65
116,sjres67
116,sjres66
116,s3084
116,s3105
116,s3147
116,hr5451
116,hr5458
116,hr5459
116,hr5472
116,s3201
116,hr5671
116,hr5597
116,hr5663
116,s3257
116,hr5901
116,hr5954
116,s3312
116,hr5852
116,hr5972
116,hr5983
116,hr6074
116,s3414
116,hr6016
116,hr6100
116,hr6168
116,s3462
116,s3461
116,s3418
116,hr6161
116,hr6192
116,hr6237
116,s3503
116,hr6322
116,s3587
116,hr6418
116,hr6435
116,hr6535
116,s3607
116,s3637
116,s3744
116,s3703
116,hr7010
116,s3758
116,hr7105
116,hr7088
116,s3989
116,hr7259
116,s4116
116,s4091
116,s4072
116,s4075
116,hr7347
116,hr7440
116,s4148
116,s4209
116,s4126
116,hr7460
116,hr7502
116,hr7810
116,hr7898
116,hr8247
116,hr8337
116,hr8276
116,hr8354
116,s4762
116,s4684
116,hr8472
116,hr8611
116,s4902
116,hr8810
116,hr8900
116,s5036
116,hr8906
116,s4996
116,hjres107
116,hjres110
116,s5076
117,hr49
117,hr26
117,hr208
117,hr189
117,hr55
117,hr91
117,hr92
117,hr203
117,hr335
117,hr264
117,hr390
117,hr228
117,hr310
117,s108
117,s66
117,hr468
117,hr441
117,hr478
117,s164
117,s144
117,s169
117,hr521
117,hr711
117,hr772
117,s189
117,hr735
117,hr767
117,hr700
117,s198
117,hr941
117,s272
117,hr960
117,s233
117,s270
117,s231
117,hr897
117,hr1002
117,s325
117,s321
117,hr1170
117,hr1057
117,s314
117,hr1095
117,hr1082
117,hr1154
117,s415
117,s422
117,s409
117,hr1192
117,s400
117,hr1298
117,hr1193
117,hr1319
117,hjres27
